16.02.2019 13:00;358678;360103;358661;359558;5,12E+11
16.02.2019 12:00;358918;360407;357109;358678;1,05E+12
16.02.2019 11:00;358512;358918;358512;358918;1035289802
16.02.2019 10:00;358642;358919;358316;358512;1,75E+11
16.02.2019 09:00;358671;358975;358589;358642;4101966
16.02.2019 08:00;35832;358986;358186;358671;635891545
16.02.2019 07:00;358295;358658;35802;35832;9,89E+11
16.02.2019 06:00;358674;358768;358197;358295;1,94E+11
16.02.2019 05:00;358286;359026;358088;358674;8,35E+11
16.02.2019 04:00;358696;359819;358254;358286;8,75E+11
16.02.2019 03:00;35820;358891;358001;358696;2,99E+11
16.02.2019 02:00;356712;35820;356712;35820;2,48E+11
16.02.2019 01:00;356712;356712;356712;356712;0
16.02.2019 00:00;356712;356712;356712;356712;0
15.02.2019 23:00;356667;356728;356168;356712;3,09E+11
15.02.2019 22:00;356584;356668;356285;356667;3,71E+11
15.02.2019 21:00;356646;356939;356417;356584;3,32E+12
15.02.2019 20:00;356585;357063;356332;356646;44907608602
15.02.2019 19:00;356681;356939;356299;356585;1,58E+12
15.02.2019 18:00;356472;356789;356472;356681;7,53E+11
15.02.2019 17:00;356002;3,58E+16;356002;356472;6,42E+12
15.02.2019 16:00;355638;356104;355482;356002;9,83E+11
15.02.2019 15:00;355635;356266;354778;355638;1,27E+12
15.02.2019 14:00;358552;361579;354495;355635;4,48E+12
15.02.2019 13:00;358067;358623;357515;358552;5,36E+11
15.02.2019 12:00;357388;358143;357308;358067;1,65E+12
15.02.2019 11:00;35799;359832;357275;357388;1,36E+12
15.02.2019 10:00;357046;358367;356933;35799;824631541
15.02.2019 09:00;35730;35767;356909;357046;8658618255
15.02.2019 08:00;357599;358053;35730;35730;1,19E+12
15.02.2019 07:00;357711;357711;357043;357599;6,51E+11
15.02.2019 06:00;357589;358254;357375;357711;6,21E+11
15.02.2019 05:00;358129;358134;357589;357589;4,25E+11
15.02.2019 04:00;357421;358826;357421;358129;7,61E+11
15.02.2019 03:00;357163;357933;357163;357421;2,72E+11
15.02.2019 02:00;357054;357163;356672;357163;74440392346
15.02.2019 01:00;356432;357079;356351;357054;2,02E+11
15.02.2019 00:00;356229;356833;355774;356432;5,30E+11
14.02.2019 23:00;356474;356639;356008;356229;2,17E+11
14.02.2019 22:00;35700;357151;356435;356474;5,74E+11
14.02.2019 21:00;356594;357362;355916;35700;2,71E+12
14.02.2019 20:00;357426;357426;356501;356594;9,02E+11
14.02.2019 19:00;35750;358748;35705;357426;1,64E+12
14.02.2019 18:00;357165;357584;357098;35750;4,34E+11
14.02.2019 17:00;356709;35779;356657;357165;7,48E+11
14.02.2019 16:00;356747;35807;356621;356709;4,08E+11
14.02.2019 15:00;356026;357261;356025;356747;8,37E+11
14.02.2019 14:00;35610;356374;355861;356026;9,10E+11
14.02.2019 13:00;35580;356396;355746;35610;1,34E+12
14.02.2019 12:00;355223;356178;354902;35580;3,66E+11
14.02.2019 11:00;35620;356938;35370;355223;1,88E+12
14.02.2019 10:00;356967;356998;355661;35620;1,34E+12
14.02.2019 09:00;356596;357139;356388;356967;1,01E+12
14.02.2019 08:00;35655;357391;356394;356596;1,14E+12
14.02.2019 07:00;357575;357607;355915;35655;1,31E+12
14.02.2019 06:00;35718;357806;356973;357575;80835911648
14.02.2019 05:00;358171;358557;356684;35718;1,23E+12
14.02.2019 04:00;357279;358411;357279;358171;1,14E+12
14.02.2019 03:00;357409;357722;357279;357279;18523686337
14.02.2019 02:00;358155;358188;357402;357409;85899792069
14.02.2019 01:00;358568;36570;358091;358155;4,11E+12
14.02.2019 00:00;357648;358824;357556;358568;2,77E+11
13.02.2019 23:00;357199;35790;357142;357648;2,10E+11
13.02.2019 22:00;357161;357673;356904;357199;2,91E+11
13.02.2019 21:00;356916;357544;356733;357161;2,78E+12
13.02.2019 20:00;35720;357508;356699;356916;3,23E+11
13.02.2019 19:00;358393;358393;35720;35720;3,56E+11
13.02.2019 18:00;35764;358393;357509;358393;6,28E+11
13.02.2019 17:00;35750;358161;35750;35764;6,06E+11
13.02.2019 16:00;356501;357752;356344;35750;4,24E+11
13.02.2019 15:00;357501;357501;356122;356501;6,99E+11
13.02.2019 14:00;35770;357805;357286;357501;1,75E+11
13.02.2019 13:00;358079;358397;357679;35770;8,00E+11
13.02.2019 12:00;357278;358079;356822;358079;1,26E+12
13.02.2019 11:00;357786;357786;356601;357278;1,08E+12
13.02.2019 10:00;35808;358648;357629;357786;8,29E+11
13.02.2019 09:00;358001;358691;357522;35808;9166503478
13.02.2019 08:00;358767;35935;35800;358001;3,82E+11
13.02.2019 07:00;359718;359879;358606;358767;7,39E+11
13.02.2019 06:00;360258;362779;359469;359718;8,55E+11
13.02.2019 05:00;35943;360394;359269;360258;9,71E+11
13.02.2019 04:00;359801;360154;359138;35943;1,21E+11
13.02.2019 03:00;359759;359857;359338;359801;5,37E+11
13.02.2019 02:00;359343;360076;35902;359759;8,49E+11
13.02.2019 01:00;359481;359789;358947;359343;8,91E+11
13.02.2019 00:00;358861;359806;358476;359481;1,60E+11
12.02.2019 23:00;35794;359179;35794;358861;2,81E+11
12.02.2019 22:00;357748;358511;357379;35794;2,84E+11
12.02.2019 21:00;360594;360904;355914;357748;3,89E+12
12.02.2019 20:00;35975;361394;35975;360594;6,35E+11
12.02.2019 19:00;359764;360444;359294;35975;8,25E+11
