,,timestamp,Open,High,Low,Close,Volume,ema,sma,bb_high_indicator,bb_low_indicator
1618398000000.0,2021-04-14 11:00:00,64787.98,64084.64,64511.21,3597.696262,231850148.84566936,96229.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618394400000.0,2021-04-14 10:00:00,64151.97,63431.98,64099.99,3544.018237,226423836.9661013,101467.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618390800000.0,2021-04-14 09:00:00,64165.0,63012.84,63568.42,4808.785992,305664986.1962989,137044.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618387200000.0,2021-04-14 08:00:00,64565.54,63368.0,63928.57,3931.25458,252259196.79728025,160523.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618383600000.0,2021-04-14 07:00:00,64655.0,64280.0,64288.8,2682.621518,172885004.50156212,122708.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618380000000.0,2021-04-14 06:00:00,64854.0,63915.0,64577.26,4207.951122,271074760.6357171,155169.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618376400000.0,2021-04-14 05:00:00,64720.0,63890.54,64038.49,4224.556908,271609036.9060113,119445.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618372800000.0,2021-04-14 04:00:00,64280.0,63605.85,64268.97,3136.566814,200273313.12852937,103020.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618369200000.0,2021-04-14 03:00:00,63865.0,63063.32,63749.19,2653.389128,168468281.5496332,77140.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618365600000.0,2021-04-14 02:00:00,63459.53,63088.5,63208.66,1715.991618,108512396.43505196,54759.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618362000000.0,2021-04-14 01:00:00,63484.16,63082.0,63446.84,2449.739766,155055713.5835189,74859.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618358400000.0,2021-04-14 00:00:00,63869.99,63208.97,63315.03,2542.54651,161265503.5613434,102933.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618354800000.0,2021-04-13 23:00:00,63666.0,63200.0,63575.0,1882.227029,119345890.58766794,85276.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618351200000.0,2021-04-13 22:00:00,63300.0,62867.02,63238.81,1618.455859,102135453.85913251,102046.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618347600000.0,2021-04-13 21:00:00,63320.0,62859.43,63139.99,1360.995683,85884948.65316068,68927.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618344000000.0,2021-04-13 20:00:00,63210.0,62842.99,63167.72,1589.748821,100262671.32735008,111374.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618340400000.0,2021-04-13 19:00:00,63046.13,62530.0,62997.02,2382.821555,149656660.38173103,104596.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618336800000.0,2021-04-13 18:00:00,63548.7,62550.0,62641.77,3188.866516,201411468.13158935,104265.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618333200000.0,2021-04-13 17:00:00,63364.75,63026.46,63332.85,2346.347961,148321811.81305304,82182.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618329600000.0,2021-04-13 16:00:00,63777.77,62988.0,63150.79,4000.923562,253356415.51811773,124424.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618326000000.0,2021-04-13 15:00:00,63657.86,62740.0,63331.83,4259.095727,269156564.0048766,123313.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618322400000.0,2021-04-13 14:00:00,63031.34,62595.66,62920.99,2414.092233,151667368.8617845,82125.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618318800000.0,2021-04-13 13:00:00,63019.97,62500.0,62787.35,4190.261038,262980863.9556832,110217.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618315200000.0,2021-04-13 12:00:00,63260.0,62790.85,62973.25,4125.909956,259854700.65292564,153428.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618311600000.0,2021-04-13 11:00:00,63093.82,62500.0,62942.21,3337.013558,209653954.49583647,128126.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618308000000.0,2021-04-13 10:00:00,63100.0,62458.0,62745.56,4400.767576,276040305.0690229,141476.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618304400000.0,2021-04-13 09:00:00,63287.88,62300.88,62924.24,6333.624079,397544743.31117207,190071.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618300800000.0,2021-04-13 08:00:00,62878.0,61046.45,62711.51,11272.865488,702208842.7576287,305481.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618297200000.0,2021-04-13 07:00:00,61190.0,60582.21,61050.99,2717.23696,165477153.9968401,102768.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618293600000.0,2021-04-13 06:00:00,61415.5,60450.25,60719.86,5124.405057,312195981.59087,154548.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618290000000.0,2021-04-13 05:00:00,60814.16,60470.0,60668.74,1937.134735,117497458.4312829,79982.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618286400000.0,2021-04-13 04:00:00,60650.0,60330.74,60585.4,2385.72594,144343926.55863893,61332.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618282800000.0,2021-04-13 03:00:00,61100.0,60435.28,60493.43,3358.73602,204162518.91821048,93516.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618279200000.0,2021-04-13 02:00:00,60951.27,60571.42,60829.01,3023.477817,183650666.41270176,67137.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618275600000.0,2021-04-13 01:00:00,60780.26,60215.0,60641.13,3057.550989,185030508.7298554,59136.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618272000000.0,2021-04-13 00:00:00,60473.0,59805.15,60452.35,2540.404587,153036497.37048557,67989.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618268400000.0,2021-04-12 23:00:00,60100.0,59859.06,59860.0,1798.601561,107841687.62285018,49056.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618264800000.0,2021-04-12 22:00:00,60072.3,59850.0,60044.75,1418.174164,84990755.13390969,46289.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618261200000.0,2021-04-12 21:00:00,60073.8,59759.05,59992.53,1349.30976,80859949.57513188,56062.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618257600000.0,2021-04-12 20:00:00,60241.32,59922.22,60049.92,1697.705759,102045643.4501008,61139.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618254000000.0,2021-04-12 19:00:00,60223.0,59881.28,60090.41,1331.638954,79932021.28489073,52449.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618250400000.0,2021-04-12 18:00:00,60018.0,59680.9,59988.95,1312.920477,78592405.32617787,50640.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
